waypoint,kind,east_m,north_m,lat,lon,yaw_rad,lookahead_m,speed_mps,local_radius_m
161,headland,-16.437,-7.916,40.485555988,-80.332619335,1.877527,2.00,0.50,
162,headland,-16.585,-7.449,40.485560213,-80.332621082,1.877527,2.00,0.50,
163,headland,-16.733,-6.982,40.485564438,-80.332622829,1.828503,2.00,0.50,6.897
164,headland,-16.780,-6.802,40.485566067,-80.332623390,1.730457,2.00,0.50,1.900
165,headland,-16.810,-6.618,40.485567730,-80.332623739,1.632410,2.00,0.50,1.900
166,headland,-16.821,-6.432,40.485569412,-80.332623875,1.534363,2.00,0.50,1.900
167,headland,-16.814,-6.246,40.485571095,-80.332623795,1.436316,2.00,0.50,1.900
168,headland,-16.789,-6.062,40.485572764,-80.332623500,1.338269,2.00,0.50,1.900
169,headland,-16.746,-5.880,40.485574404,-80.332622993,1.240223,2.00,0.50,1.900
170,headland,-16.686,-5.704,40.485575997,-80.332622279,1.142176,2.00,0.50,1.900
171,headland,-16.609,-5.535,40.485577529,-80.332621365,1.044129,2.00,0.50,1.900
172,headland,-16.515,-5.374,40.485578986,-80.332620260,0.946082,2.00,0.50,1.900
173,headland,-16.406,-5.223,40.485580352,-80.332618973,0.848036,2.00,0.50,1.900
174,headland,-16.283,-5.083,40.485581615,-80.332617518,0.749989,2.00,0.50,1.900
175,headland,-16.147,-4.956,40.485582764,-80.332615909,0.651942,2.00,0.50,1.900
176,headland,-15.999,-4.843,40.485583786,-80.332614161,0.553895,2.00,0.50,1.900
177,headland,-15.840,-4.745,40.485584672,-80.332612290,0.455849,2.00,0.50,1.900
178,headland,-15.673,-4.663,40.485585413,-80.332610315,0.357802,2.00,0.50,1.900
179,headland,-15.499,-4.598,40.485586003,-80.332608255,0.259755,2.00,0.50,1.900
180,headland,-15.319,-4.550,40.485586436,-80.332606130,0.210732,2.00,0.50,6.682
181,headland,-14.860,-4.452,40.485587323,-80.332600715,0.210732,2.00,0.50,
182,headland,-14.402,-4.354,40.485588210,-80.332595300,0.210732,2.00,0.50,
183,headland,-13.943,-4.256,40.485589098,-80.332589886,0.210732,2.00,0.50,
184,headland,-13.485,-4.158,40.485589985,-80.332584471,0.210732,2.00,0.50,
185,headland,-13.026,-4.060,40.485590872,-80.332579056,0.210732,2.00,0.50,
186,headland,-12.568,-3.962,40.485591759,-80.332573641,0.210732,2.00,0.50,
187,headland,-12.110,-3.864,40.485592646,-80.332568227,0.210732,2.00,0.50,
188,headland,-11.651,-3.766,40.485593533,-80.332562812,0.210732,2.00,0.50,
189,headland,-11.193,-3.668,40.485594420,-80.332557397,0.210732,2.00,0.50,
190,headland,-10.734,-3.570,40.485595308,-80.332551982,0.210732,2.00,0.50,
191,headland,-10.276,-3.472,40.485596195,-80.332546568,0.210732,2.00,0.50,
192,headland,-9.817,-3.373,40.485597082,-80.332541153,0.210732,2.00,0.50,
193,headland,-9.359,-3.275,40.485597969,-80.332535738,0.210732,2.00,0.50,
194,headland,-8.900,-3.177,40.485598856,-80.332530323,0.210732,2.00,0.50,
195,headland,-8.442,-3.079,40.485599743,-80.332524909,0.210732,2.00,0.50,
196,headland,-7.984,-2.981,40.485600630,-80.332519494,0.210732,2.00,0.50,
197,headland,-7.525,-2.883,40.485601518,-80.332514079,0.210732,2.00,0.50,
198,headland,-7.067,-2.785,40.485602405,-80.332508665,0.210732,2.00,0.50,
199,headland,-6.608,-2.687,40.485603292,-80.332503250,0.210732,2.00,0.50,
200,headland,-6.150,-2.589,40.485604179,-80.332497835,0.210732,2.00,0.50,
201,headland,-5.691,-2.491,40.485605066,-80.332492420,0.210732,2.00,0.50,
202,headland,-5.233,-2.393,40.485605953,-80.332487006,0.210732,2.00,0.50,
203,headland,-4.774,-2.295,40.485606841,-80.332481591,0.210732,2.00,0.50,
204,headland,-4.316,-2.197,40.485607728,-80.332476176,0.210732,2.00,0.50,
205,headland,-3.858,-2.099,40.485608615,-80.332470761,0.210732,2.00,0.50,
206,headland,-3.399,-2.001,40.485609502,-80.332465347,0.210732,2.00,0.50,
207,headland,-2.941,-1.902,40.485610389,-80.332459932,0.210732,2.00,0.50,
208,headland,-2.482,-1.804,40.485611276,-80.332454517,0.162184,2.00,0.50,6.729
209,headland,-2.300,-1.775,40.485611546,-80.332452368,0.065088,2.00,0.50,1.900
210,headland,-2.116,-1.763,40.485611654,-80.332450194,6.251177,2.00,0.50,1.900
211,headland,-1.932,-1.769,40.485611601,-80.332448017,6.154081,2.00,0.50,1.900
212,headland,-1.749,-1.792,40.485611386,-80.332445857,6.056985,2.00,0.50,1.900
213,headland,-1.569,-1.834,40.485611012,-80.332443735,5.959889,2.00,0.50,1.900
214,headland,-1.394,-1.892,40.485610482,-80.332441670,5.862793,2.00,0.50,1.900
215,headland,-1.226,-1.968,40.485609801,-80.332439681,5.765697,2.00,0.50,1.900
216,headland,-1.066,-2.059,40.485608976,-80.332437788,5.668601,2.00,0.50,1.900
217,headland,-0.915,-2.165,40.485608014,-80.332436009,5.571505,2.00,0.50,1.900
218,headland,-0.775,-2.286,40.485606924,-80.332434359,5.474409,2.00,0.50,1.900
219,headland,-0.648,-2.419,40.485605717,-80.332432856,5.377313,2.00,0.50,1.900
220,headland,-0.534,-2.564,40.485604404,-80.332431512,5.280217,2.00,0.50,1.900
221,headland,-0.435,-2.720,40.485602998,-80.332430340,5.183121,2.00,0.50,1.900
222,headland,-0.352,-2.884,40.485601511,-80.332429353,5.086025,2.00,0.50,1.900
223,headland,-0.284,-3.056,40.485599958,-80.332428558,5.037478,2.00,0.50,7.046
224,headland,-0.125,-3.529,40.485595675,-80.332426673,5.037478,2.00,0.50,
225,headland,0.035,-4.002,40.485591392,-80.332424788,4.923281,2.00,0.50,4.086
226,connector,0.126,-4.426,40.485587562,-80.332423718,4.809084,1.50,0.50,4.087
227,connector,0.174,-4.923,40.485583060,-80.332423148,4.809084,1.50,0.50,
228,connector,0.222,-5.421,40.485578558,-80.332422577,4.809084,1.50,0.50,
229,connector,0.270,-5.919,40.485574056,-80.332422007,4.809084,1.50,0.50,
230,connector,0.319,-6.416,40.485569553,-80.332421437,4.809084,1.50,0.50,
231,connector,0.367,-6.914,40.485565051,-80.332420867,4.809084,1.50,0.50,
232,connector,0.415,-7.412,40.485560549,-80.332420297,4.809084,1.50,0.50,
233,connector,0.463,-7.909,40.485556047,-80.332419727,4.809084,1.50,0.50,
234,connector,0.506,-8.347,40.485552091,-80.332419226,4.923281,1.50,0.50,3.822
235,connector,0.596,-8.770,40.485548261,-80.332418155,5.037478,1.50,0.50,4.006
236,headland,0.750,-9.226,40.485544135,-80.332416339,5.037478,2.00,0.50,
237,headland,0.904,-9.682,40.485540008,-80.332414524,5.037478,2.00,0.50,
238,headland,1.058,-10.138,40.485535882,-80.332412708,5.037478,2.00,0.50,
239,headland,1.211,-10.595,40.485531756,-80.332410892,5.037478,2.00,0.50,
240,headland,1.365,-11.051,40.485527630,-80.332409076,5.037478,2.00,0.50,
241,headland,1.519,-11.507,40.485523503,-80.332407261,5.037478,2.00,0.50,
242,headland,1.673,-11.963,40.485519377,-80.332405445,5.037478,2.00,0.50,
243,headland,1.826,-12.419,40.485515251,-80.332403629,5.037478,2.00,0.50,
244,headland,1.980,-12.875,40.485511125,-80.332401814,5.037478,2.00,0.50,
245,headland,2.134,-13.331,40.485506998,-80.332399998,5.037478,2.00,0.50,
246,headland,2.288,-13.787,40.485502872,-80.332398182,5.037478,2.00,0.50,
247,headland,2.441,-14.244,40.485498746,-80.332396366,5.037478,2.00,0.50,
248,headland,2.595,-14.700,40.485494620,-80.332394551,5.037478,2.00,0.50,
249,headland,2.749,-15.156,40.485490493,-80.332392735,5.037478,2.00,0.50,
250,headland,2.902,-15.612,40.485486367,-80.332390919,5.037478,2.00,0.50,
251,headland,3.056,-16.068,40.485482241,-80.332389103,5.037478,2.00,0.50,
252,headland,3.210,-16.524,40.485478115,-80.332387288,5.037478,2.00,0.50,
253,headland,3.364,-16.980,40.485473988,-80.332385472,5.037478,2.00,0.50,
254,headland,3.517,-17.436,40.485469862,-80.332383656,5.037478,2.00,0.50,
255,headland,3.671,-17.892,40.485465736,-80.332381840,5.037478,2.00,0.50,
256,headland,3.825,-18.349,40.485461610,-80.332380025,5.037478,2.00,0.50,
257,headland,3.979,-18.805,40.485457484,-80.332378209,5.037478,2.00,0.50,
258,headland,4.132,-19.261,40.485453357,-80.332376393,5.037478,2.00,0.50,
259,headland,4.286,-19.717,40.485449231,-80.332374578,5.037478,2.00,0.50,
260,headland,4.440,-20.173,40.485445105,-80.332372762,5.037478,2.00,0.50,
261,headland,4.593,-20.629,40.485440979,-80.332370946,5.037478,2.00,0.50,
262,headland,4.747,-21.085,40.485436852,-80.332369130,5.037478,2.00,0.50,
263,headland,4.901,-21.541,40.485432726,-80.332367315,5.037478,2.00,0.50,
264,headland,5.055,-21.997,40.485428600,-80.332365499,5.037478,2.00,0.50,
265,headland,5.208,-22.454,40.485424474,-80.332363683,5.037478,2.00,0.50,
266,headland,5.362,-22.910,40.485420347,-80.332361867,5.037478,2.00,0.50,
267,headland,5.516,-23.366,40.485416221,-80.332360052,5.037478,2.00,0.50,
268,headland,5.670,-23.822,40.485412095,-80.332358236,5.037478,2.00,0.50,
269,headland,5.823,-24.278,40.485407969,-80.332356420,5.037478,2.00,0.50,
270,headland,5.977,-24.734,40.485403842,-80.332354604,5.037478,2.00,0.50,
271,headland,6.131,-25.190,40.485399716,-80.332352789,5.037478,2.00,0.50,
272,headland,6.285,-25.646,40.485395590,-80.332350973,5.037478,2.00,0.50,
273,headland,6.438,-26.103,40.485391464,-80.332349157,4.988330,2.00,0.50,6.797
274,headland,6.489,-26.282,40.485389839,-80.332348557,4.890035,2.00,0.50,1.900
275,headland,6.522,-26.466,40.485388176,-80.332348167,4.791740,2.00,0.50,1.900
276,headland,6.537,-26.652,40.485386493,-80.332347992,4.693444,2.00,0.50,1.900
277,headland,6.533,-26.839,40.485384804,-80.332348034,4.595149,2.00,0.50,1.900
278,headland,6.512,-27.024,40.485383127,-80.332348292,4.496854,2.00,0.50,1.900
279,headland,6.472,-27.206,40.485381477,-80.332348763,4.398559,2.00,0.50,1.900
280,headland,6.414,-27.384,40.485379871,-80.332349444,4.300264,2.00,0.50,1.900
281,headland,6.339,-27.555,40.485378324,-80.332350327,4.201969,2.00,0.50,1.900
282,headland,6.248,-27.718,40.485376850,-80.332351404,4.103674,2.00,0.50,1.900
283,headland,6.141,-27.871,40.485375464,-80.332352665,4.005378,2.00,0.50,1.900
284,headland,6.020,-28.013,40.485374180,-80.332354098,3.907083,2.00,0.50,1.900
285,headland,5.885,-28.142,40.485373010,-80.332355687,3.808788,2.00,0.50,1.900
286,headland,5.739,-28.258,40.485371965,-80.332357420,3.710493,2.00,0.50,1.900
287,headland,5.581,-28.358,40.485371055,-80.332359277,3.612198,2.00,0.50,1.900
288,headland,5.415,-28.443,40.485370290,-80.332361242,3.513903,2.00,0.50,1.900
289,headland,5.241,-28.511,40.485369675,-80.332363296,3.464755,2.00,0.50,6.787
290,headland,4.786,-28.664,40.485368295,-80.332368676,3.464755,2.00,0.50,
291,headland,4.330,-28.816,40.485366916,-80.332374055,3.464755,2.00,0.50,
292,headland,3.875,-28.969,40.485365536,-80.332379434,3.464755,2.00,0.50,
293,headland,3.419,-29.121,40.485364156,-80.332384813,3.464755,2.00,0.50,
294,headland,2.964,-29.274,40.485362776,-80.332390193,3.464755,2.00,0.50,
295,headland,2.509,-29.426,40.485361396,-80.332395572,3.464755,2.00,0.50,
296,headland,2.053,-29.579,40.485360016,-80.332400951,3.464755,2.00,0.50,
297,headland,1.598,-29.731,40.485358636,-80.332406330,3.464755,2.00,0.50,
298,headland,1.142,-29.884,40.485357257,-80.332411710,3.464755,2.00,0.50,
299,headland,0.687,-30.036,40.485355877,-80.332417089,3.464755,2.00,0.50,
300,headland,0.231,-30.189,40.485354497,-80.332422468,3.464755,2.00,0.50,
301,headland,-0.224,-30.341,40.485353117,-80.332427847,3.464755,2.00,0.50,
302,headland,-0.680,-30.494,40.485351737,-80.332433227,3.464755,2.00,0.50,
303,headland,-1.135,-30.646,40.485350357,-80.332438606,3.464755,2.00,0.50,
304,headland,-1.590,-30.799,40.485348977,-80.332443985,3.464755,2.00,0.50,
305,headland,-2.046,-30.951,40.485347598,-80.332449364,3.464755,2.00,0.50,
306,headland,-2.501,-31.104,40.485346218,-80.332454744,3.464755,2.00,0.50,
307,headland,-2.957,-31.257,40.485344838,-80.332460123,3.464755,2.00,0.50,
308,headland,-3.412,-31.409,40.485343458,-80.332465502,3.464755,2.00,0.50,
309,headland,-3.868,-31.562,40.485342078,-80.332470881,3.464755,2.00,0.50,
310,headland,-4.323,-31.714,40.485340698,-80.332476261,3.464755,2.00,0.50,
311,headland,-4.779,-31.867,40.485339318,-80.332481640,3.464755,2.00,0.50,
312,headland,-5.234,-32.019,40.485337939,-80.332487019,3.464755,2.00,0.50,
313,headland,-5.689,-32.172,40.485336559,-80.332492398,3.415154,2.00,0.50,6.742
314,headland,-5.871,-32.223,40.485336098,-80.332494541,3.315952,2.00,0.50,1.900
315,headland,-6.056,-32.255,40.485335803,-80.332496732,3.216751,2.00,0.50,1.900
316,headland,-6.244,-32.269,40.485335675,-80.332498951,3.117549,2.00,0.50,1.900
317,headland,-6.433,-32.265,40.485335716,-80.332501176,3.018347,2.00,0.50,1.900
318,headland,-6.620,-32.242,40.485335925,-80.332503384,2.919145,2.00,0.50,1.900
319,headland,-6.803,-32.200,40.485336301,-80.332505555,2.819944,2.00,0.50,1.900
320,headland,-6.982,-32.141,40.485336840,-80.332507666,2.720742,2.00,0.50,1.900
321,headland,-7.154,-32.064,40.485337536,-80.332509697,2.621540,2.00,0.50,1.900
322,headland,-7.318,-31.970,40.485338383,-80.332511628,2.522338,2.00,0.50,1.900
323,headland,-7.471,-31.861,40.485339373,-80.332513440,2.423136,2.00,0.50,1.900
324,headland,-7.613,-31.737,40.485340494,-80.332515115,2.323935,2.00,0.50,1.900
325,headland,-7.742,-31.599,40.485341738,-80.332516637,2.224733,2.00,0.50,1.900
326,headland,-7.856,-31.450,40.485343091,-80.332517991,2.125531,2.00,0.50,1.900
327,headland,-7.956,-31.290,40.485344540,-80.332519163,2.026329,2.00,0.50,1.900
328,headland,-8.038,-31.120,40.485346070,-80.332520142,1.927128,2.00,0.50,1.900
329,headland,-8.104,-30.944,40.485347667,-80.332520918,1.877527,2.00,0.50,6.811
330,headland,-8.251,-30.479,40.485351869,-80.332522656,1.877527,2.00,0.50,
331,headland,-8.398,-30.015,40.485356070,-80.332524393,1.877527,2.00,0.50,
332,headland,-8.545,-29.550,40.485360272,-80.332526130,1.877527,2.00,0.50,
333,headland,-8.693,-29.086,40.485364473,-80.332527868,1.877527,2.00,0.50,
334,headland,-8.840,-28.622,40.485368675,-80.332529605,1.877527,2.00,0.50,
335,headland,-8.987,-28.157,40.485372876,-80.332531342,1.877527,2.00,0.50,
336,headland,-9.134,-27.693,40.485377077,-80.332533080,1.877527,2.00,0.50,
337,headland,-9.281,-27.228,40.485381279,-80.332534817,1.877527,2.00,0.50,
338,headland,-9.428,-26.764,40.485385480,-80.332536555,1.877527,2.00,0.50,
339,headland,-9.575,-26.299,40.485389682,-80.332538292,1.877527,2.00,0.50,
340,headland,-9.722,-25.835,40.485393883,-80.332540029,1.877527,2.00,0.50,
341,headland,-9.869,-25.371,40.485398085,-80.332541767,1.877527,2.00,0.50,
342,headland,-10.016,-24.906,40.485402286,-80.332543504,1.877527,2.00,0.50,
343,headland,-10.163,-24.442,40.485406487,-80.332545241,1.877527,2.00,0.50,
344,headland,-10.311,-23.977,40.485410689,-80.332546979,1.877527,2.00,0.50,
345,headland,-10.458,-23.513,40.485414890,-80.332548716,1.877527,2.00,0.50,
346,headland,-10.605,-23.049,40.485419092,-80.332550453,1.877527,2.00,0.50,
347,headland,-10.752,-22.584,40.485423293,-80.332552191,1.877527,2.00,0.50,
348,headland,-10.899,-22.120,40.485427495,-80.332553928,1.877527,2.00,0.50,
349,headland,-11.046,-21.655,40.485431696,-80.332555665,1.877527,2.00,0.50,
350,headland,-11.193,-21.191,40.485435897,-80.332557403,1.877527,2.00,0.50,
351,headland,-11.340,-20.726,40.485440099,-80.332559140,1.877527,2.00,0.50,
352,headland,-11.487,-20.262,40.485444300,-80.332560877,1.877527,2.00,0.50,
353,headland,-11.634,-19.798,40.485448502,-80.332562615,1.877527,2.00,0.50,
354,headland,-11.782,-19.333,40.485452703,-80.332564352,1.877527,2.00,0.50,
355,headland,-11.929,-18.869,40.485456904,-80.332566090,1.877527,2.00,0.50,
356,headland,-12.076,-18.404,40.485461106,-80.332567827,1.877527,2.00,0.50,
357,headland,-12.223,-17.940,40.485465307,-80.332569564,1.877527,2.00,0.50,
358,headland,-12.370,-17.475,40.485469509,-80.332571302,1.877527,2.00,0.50,
359,headland,-12.517,-17.011,40.485473710,-80.332573039,1.877527,2.00,0.50,
360,headland,-12.664,-16.547,40.485477912,-80.332574776,1.877527,2.00,0.50,
361,headland,-12.811,-16.082,40.485482113,-80.332576514,1.877527,2.00,0.50,
362,headland,-12.958,-15.618,40.485486314,-80.332578251,1.877527,2.00,0.50,
363,headland,-13.105,-15.153,40.485490516,-80.332579988,1.877527,2.00,0.50,
364,headland,-13.252,-14.689,40.485494717,-80.332581726,1.877527,2.00,0.50,
365,headland,-13.400,-14.224,40.485498919,-80.332583463,1.877527,2.00,0.50,
366,headland,-13.547,-13.760,40.485503120,-80.332585200,1.877527,2.00,0.50,
367,headland,-13.694,-13.296,40.485507322,-80.332586938,1.877527,2.00,0.50,
368,headland,-13.841,-12.831,40.485511523,-80.332588675,1.877527,2.00,0.50,
369,headland,-13.988,-12.367,40.485515724,-80.332590412,1.877527,2.00,0.50,
370,headland,-14.135,-11.902,40.485519926,-80.332592150,1.877527,2.00,0.50,
371,headland,-14.282,-11.438,40.485524127,-80.332593887,1.877527,2.00,0.50,
372,headland,-14.429,-10.973,40.485528329,-80.332595625,1.877527,2.00,0.50,
373,headland,-14.576,-10.509,40.485532530,-80.332597362,1.877527,2.00,0.50,
374,headland,-14.723,-10.045,40.485536731,-80.332599099,1.877527,2.00,0.50,
375,headland,-14.871,-9.580,40.485540933,-80.332600837,1.877527,2.00,0.50,
376,headland,-15.018,-9.116,40.485545134,-80.332602574,1.877527,2.00,0.50,
377,headland,-15.165,-8.651,40.485549336,-80.332604311,1.877527,2.00,0.50,
378,headland,-15.312,-8.187,40.485553537,-80.332606049,1.877527,2.00,0.50,
379,headland,-15.459,-7.722,40.485557739,-80.332607786,1.828503,2.00,0.50,6.869
380,headland,-15.506,-7.542,40.485559368,-80.332608347,1.730457,2.00,0.50,1.900
381,headland,-15.536,-7.359,40.485561031,-80.332608696,1.632410,2.00,0.50,1.900
382,headland,-15.547,-7.173,40.485562712,-80.332608832,1.534363,2.00,0.50,1.900
383,headland,-15.541,-6.987,40.485564396,-80.332608752,1.436316,2.00,0.50,1.900
384,headland,-15.516,-6.802,40.485566065,-80.332608457,1.338269,2.00,0.50,1.900
385,headland,-15.473,-6.621,40.485567704,-80.332607950,1.240223,2.00,0.50,1.900
386,headland,-15.412,-6.445,40.485569298,-80.332607236,1.142176,2.00,0.50,1.900
387,headland,-15.335,-6.275,40.485570830,-80.332606322,1.044129,2.00,0.50,1.900
388,headland,-15.241,-6.114,40.485572286,-80.332605216,0.946082,2.00,0.50,1.900
389,headland,-15.132,-5.963,40.485573653,-80.332603930,0.848036,2.00,0.50,1.900
390,headland,-15.009,-5.824,40.485574916,-80.332602475,0.749989,2.00,0.50,1.900
391,headland,-14.873,-5.697,40.485576064,-80.332600866,0.651942,2.00,0.50,1.900
392,headland,-14.725,-5.584,40.485577086,-80.332599118,0.553895,2.00,0.50,1.900
393,headland,-14.567,-5.486,40.485577972,-80.332597247,0.455849,2.00,0.50,1.900
394,headland,-14.399,-5.404,40.485578714,-80.332595272,0.357802,2.00,0.50,1.900
395,headland,-14.225,-5.339,40.485579304,-80.332593212,0.259755,2.00,0.50,1.900
396,headland,-14.045,-5.291,40.485579737,-80.332591087,0.210732,2.00,0.50,6.640
397,headland,-13.591,-5.194,40.485580616,-80.332585719,0.210732,2.00,0.50,
398,headland,-13.136,-5.096,40.485581495,-80.332580352,0.210732,2.00,0.50,
399,headland,-12.682,-4.999,40.485582375,-80.332574985,0.210732,2.00,0.50,
400,headland,-12.227,-4.902,40.485583254,-80.332569617,0.210732,2.00,0.50,
401,headland,-11.773,-4.805,40.485584133,-80.332564250,0.210732,2.00,0.50,
402,headland,-11.318,-4.708,40.485585013,-80.332558883,0.210732,2.00,0.50,
403,headland,-10.864,-4.610,40.485585892,-80.332553516,0.210732,2.00,0.50,
404,headland,-10.410,-4.513,40.485586772,-80.332548148,0.210732,2.00,0.50,
405,headland,-9.955,-4.416,40.485587651,-80.332542781,0.210732,2.00,0.50,
406,headland,-9.501,-4.319,40.485588530,-80.332537414,0.210732,2.00,0.50,
407,headland,-9.046,-4.222,40.485589410,-80.332532047,0.210732,2.00,0.50,
408,headland,-8.592,-4.124,40.485590289,-80.332526679,0.210732,2.00,0.50,
409,headland,-8.137,-4.027,40.485591168,-80.332521312,0.210732,2.00,0.50,
410,headland,-7.683,-3.930,40.485592048,-80.332515945,0.210732,2.00,0.50,
411,headland,-7.229,-3.833,40.485592927,-80.332510578,0.210732,2.00,0.50,
412,headland,-6.774,-3.736,40.485593807,-80.332505210,0.210732,2.00,0.50,
413,headland,-6.320,-3.638,40.485594686,-80.332499843,0.210732,2.00,0.50,
414,headland,-5.865,-3.541,40.485595565,-80.332494476,0.210732,2.00,0.50,
415,headland,-5.411,-3.444,40.485596445,-80.332489108,0.210732,2.00,0.50,
416,headland,-4.956,-3.347,40.485597324,-80.332483741,0.210732,2.00,0.50,
417,headland,-4.502,-3.250,40.485598203,-80.332478374,0.210732,2.00,0.50,
418,headland,-4.048,-3.152,40.485599083,-80.332473007,0.210732,2.00,0.50,
419,headland,-3.593,-3.055,40.485599962,-80.332467639,0.210732,2.00,0.50,
420,headland,-3.139,-2.958,40.485600841,-80.332462272,0.162184,2.00,0.50,6.686
421,headland,-2.957,-2.928,40.485601111,-80.332460123,0.065088,2.00,0.50,1.900
422,headland,-2.773,-2.916,40.485601219,-80.332457949,6.251177,2.00,0.50,1.900
423,headland,-2.588,-2.922,40.485601166,-80.332455772,6.154081,2.00,0.50,1.900
424,headland,-2.406,-2.946,40.485600951,-80.332453612,6.056985,2.00,0.50,1.900
425,headland,-2.226,-2.987,40.485600577,-80.332451490,5.959889,2.00,0.50,1.900
426,headland,-2.051,-3.046,40.485600047,-80.332449424,5.862793,2.00,0.50,1.900
427,headland,-1.883,-3.121,40.485599366,-80.332447436,5.765697,2.00,0.50,1.900
428,headland,-1.722,-3.212,40.485598541,-80.332445543,5.668601,2.00,0.50,1.900
429,headland,-1.572,-3.319,40.485597579,-80.332443764,5.571505,2.00,0.50,1.900
430,headland,-1.432,-3.439,40.485596489,-80.332442114,5.474409,2.00,0.50,1.900
431,headland,-1.305,-3.572,40.485595283,-80.332440611,5.377313,2.00,0.50,1.900
432,headland,-1.191,-3.717,40.485593970,-80.332439267,5.280217,2.00,0.50,1.900
433,headland,-1.092,-3.873,40.485592563,-80.332438095,5.183121,2.00,0.50,1.900
434,headland,-1.008,-4.037,40.485591076,-80.332437107,5.086025,2.00,0.50,1.900
435,headland,-0.941,-4.209,40.485589523,-80.332436312,5.037478,2.00,0.50,6.858
436,headland,-0.787,-4.665,40.485585397,-80.332434497,5.037478,2.00,0.50,
437,headland,-0.633,-5.121,40.485581271,-80.332432681,5.037478,2.00,0.50,
438,headland,-0.480,-5.577,40.485577144,-80.332430865,5.037478,2.00,0.50,
439,headland,-0.326,-6.033,40.485573018,-80.332429050,5.037478,2.00,0.50,
440,headland,-0.172,-6.490,40.485568892,-80.332427234,5.037478,2.00,0.50,
441,headland,-0.018,-6.946,40.485564766,-80.332425418,5.037478,2.00,0.50,
442,headland,0.135,-7.402,40.485560640,-80.332423602,5.037478,2.00,0.50,
443,headland,0.289,-7.858,40.485556513,-80.332421787,5.037478,2.00,0.50,
444,headland,0.443,-8.314,40.485552387,-80.332419971,5.037478,2.00,0.50,
445,headland,0.596,-8.770,40.485548261,-80.332418155,4.905899,2.00,0.50,3.726
446,connector,0.692,-9.259,40.485543835,-80.332417023,4.737178,1.50,0.50,1.900
447,connector,0.696,-9.400,40.485542559,-80.332416981,4.700036,1.50,0.50,8.631
448,connector,0.690,-9.900,40.485538036,-80.332417054,4.700036,1.50,0.50,
449,connector,0.683,-10.400,40.485533513,-80.332417127,4.700036,1.50,0.50,
450,connector,0.677,-10.900,40.485528990,-80.332417200,4.700036,1.50,0.50,
451,connector,0.671,-11.400,40.485524467,-80.332417273,4.700036,1.50,0.50,
452,connector,0.665,-11.900,40.485519944,-80.332417346,4.700036,1.50,0.50,
453,connector,0.659,-12.400,40.485515421,-80.332417419,4.700036,1.50,0.50,
454,connector,0.653,-12.900,40.485510898,-80.332417492,4.700036,1.50,0.50,
455,connector,0.646,-13.400,40.485506375,-80.332417565,4.700036,1.50,0.50,
456,connector,0.640,-13.900,40.485501853,-80.332417638,4.700036,1.50,0.50,
457,connector,0.634,-14.400,40.485497330,-80.332417711,4.700036,1.50,0.50,
458,connector,0.628,-14.900,40.485492807,-80.332417784,4.700036,1.50,0.50,
459,connector,0.622,-15.400,40.485488284,-80.332417857,4.700036,1.50,0.50,
460,connector,0.616,-15.900,40.485483761,-80.332417930,4.700036,1.50,0.50,
461,connector,0.609,-16.400,40.485479238,-80.332418003,4.700036,1.50,0.50,
462,connector,0.603,-16.900,40.485474715,-80.332418076,4.700036,1.50,0.50,
463,connector,0.597,-17.400,40.485470192,-80.332418149,4.700036,1.50,0.50,
464,connector,0.591,-17.900,40.485465669,-80.332418222,4.700036,1.50,0.50,
465,connector,0.585,-18.400,40.485461146,-80.332418295,4.700036,1.50,0.50,
466,connector,0.578,-18.900,40.485456623,-80.332418367,4.700036,1.50,0.50,
467,connector,0.572,-19.400,40.485452101,-80.332418440,4.700036,1.50,0.50,
468,connector,0.566,-19.900,40.485447578,-80.332418513,4.700036,1.50,0.50,
469,connector,0.560,-20.400,40.485443055,-80.332418586,4.700036,1.50,0.50,
470,connector,0.554,-20.900,40.485438532,-80.332418659,4.700036,1.50,0.50,
471,connector,0.548,-21.400,40.485434009,-80.332418732,4.700036,1.50,0.50,
472,connector,0.541,-21.900,40.485429486,-80.332418805,4.700036,1.50,0.50,
473,connector,0.535,-22.399,40.485424963,-80.332418878,4.700036,1.50,0.50,
474,connector,0.529,-22.899,40.485420440,-80.332418951,4.700036,1.50,0.50,
475,connector,0.523,-23.399,40.485415917,-80.332419024,4.700036,1.50,0.50,
476,connector,0.517,-23.899,40.485411394,-80.332419097,4.700036,1.50,0.50,
477,connector,0.511,-24.399,40.485406872,-80.332419170,4.700036,1.50,0.50,
478,connector,0.504,-24.899,40.485402349,-80.332419243,4.700036,1.50,0.50,
479,connector,0.498,-25.399,40.485397826,-80.332419316,4.700036,1.50,0.50,
480,connector,0.495,-25.638,40.485395669,-80.332419351,4.831615,1.50,0.50,2.803
481,connector,0.555,-26.133,40.485391190,-80.332418650,5.094773,1.50,0.50,1.900
482,connector,0.741,-26.595,40.485387006,-80.332416453,5.357931,1.50,0.50,1.900
483,connector,1.041,-26.993,40.485383403,-80.332412910,5.621089,1.50,0.50,1.900
484,connector,1.434,-27.300,40.485380631,-80.332408266,5.884246,1.50,0.50,1.900
485,connector,1.893,-27.494,40.485378879,-80.332402840,6.147404,1.50,0.50,1.900
486,connector,2.387,-27.561,40.485378268,-80.332397006,0.127377,1.50,0.50,1.900
