waypoint,kind,east_m,north_m,lat,lon,yaw_rad,lookahead_m,speed_mps,local_radius_m
1344,stripe,-11.133,-13.760,40.485503122,-80.332556697,1.832596,3.00,0.75,
1345,stripe,-11.261,-13.285,40.485507417,-80.332558200,1.832596,3.00,0.75,
1346,stripe,-11.388,-12.810,40.485511711,-80.332559702,1.832596,3.00,0.75,
1347,stripe,-11.515,-12.336,40.485516006,-80.332561204,1.832596,3.00,0.75,
1348,stripe,-11.642,-11.861,40.485520301,-80.332562707,1.832596,3.00,0.75,
1349,stripe,-11.769,-11.386,40.485524596,-80.332564209,1.832596,3.00,0.75,
1350,stripe,-11.897,-10.911,40.485528890,-80.332565712,1.832596,3.00,0.75,
1351,stripe,-12.024,-10.437,40.485533185,-80.332567214,1.832596,3.00,0.75,
1352,stripe,-12.151,-9.962,40.485537480,-80.332568717,1.832596,3.00,0.75,
1353,stripe,-12.278,-9.487,40.485541775,-80.332570219,1.832596,3.00,0.75,
1354,stripe,-12.405,-9.012,40.485546069,-80.332571722,1.832596,3.00,0.75,
1355,stripe,-12.533,-8.538,40.485550364,-80.332573224,1.701017,3.00,0.75,3.765
1356,connector,-12.597,-8.043,40.485554836,-80.332573989,1.437859,1.50,0.50,1.900
1357,connector,-12.531,-7.549,40.485559306,-80.332573208,1.174701,1.50,0.50,1.900
1358,connector,-12.339,-7.089,40.485563467,-80.332570936,0.988196,1.50,0.50,1.900
1359,connector,-12.224,-6.915,40.485565043,-80.332569581,1.064849,1.50,0.50,4.615
1360,connector,-11.983,-6.479,40.485568988,-80.332566727,1.328007,1.50,0.50,1.900
1361,connector,-11.863,-5.995,40.485573366,-80.332565311,1.591165,1.50,0.50,1.900
1362,connector,-11.873,-5.497,40.485577876,-80.332565431,1.854323,1.50,0.50,1.900
1363,connector,-12.012,-5.018,40.485582206,-80.332567078,2.117480,1.50,0.50,1.900
1364,connector,-12.272,-4.592,40.485586059,-80.332570140,2.380638,1.50,0.50,1.900
1365,connector,-12.633,-4.248,40.485589169,-80.332574404,2.643796,1.50,0.50,1.900
1366,connector,-13.071,-4.010,40.485591323,-80.332579578,2.906954,1.50,0.50,1.900
1367,connector,-13.556,-3.894,40.485592371,-80.332585305,3.170112,1.50,0.50,1.900
1368,connector,-14.054,-3.908,40.485592243,-80.332591191,3.433270,1.50,0.50,1.900
1369,connector,-14.531,-4.052,40.485590946,-80.332596831,3.696428,1.50,0.50,1.900
1370,connector,-14.955,-4.314,40.485588570,-80.332601836,3.959586,1.50,0.50,1.900
1371,connector,-15.296,-4.678,40.485585278,-80.332605862,4.222744,1.50,0.50,1.900
1372,connector,-15.530,-5.118,40.485581298,-80.332608631,4.485902,1.50,0.50,1.900
1373,connector,-15.642,-5.604,40.485576903,-80.332609953,4.749059,1.50,0.50,1.900
1374,connector,-15.624,-6.102,40.485572396,-80.332609738,5.012217,1.50,0.50,1.900
1375,connector,-15.477,-6.579,40.485568087,-80.332607998,5.275375,1.50,0.50,1.900
1376,connector,-15.211,-7.000,40.485564273,-80.332604856,5.538533,1.50,0.50,1.900
1377,connector,-14.844,-7.338,40.485561216,-80.332600526,5.761246,1.50,0.50,1.900
1378,connector,-14.544,-7.511,40.485559656,-80.332596985,5.720801,1.50,0.50,10.440
1379,connector,-14.123,-7.776,40.485557251,-80.332592003,5.457643,1.50,0.50,1.900
1380,connector,-13.785,-8.143,40.485553937,-80.332588010,5.194485,1.50,0.50,1.900
1381,connector,-13.553,-8.584,40.485549941,-80.332585280,5.018548,1.50,0.50,1.900
1382,connector,-13.503,-8.745,40.485548487,-80.332584680,4.974189,1.50,0.50,7.434
1383,stripe,-13.376,-9.219,40.485544197,-80.332583179,4.974189,3.00,0.75,
1384,stripe,-13.248,-9.694,40.485539907,-80.332581678,4.974189,3.00,0.75,
1385,stripe,-13.121,-10.168,40.485535617,-80.332580178,4.974189,3.00,0.75,
1386,stripe,-12.994,-10.642,40.485531327,-80.332578677,4.974189,3.00,0.75,
1387,stripe,-12.867,-11.116,40.485527037,-80.332577176,4.974189,3.00,0.75,
1388,stripe,-12.740,-11.590,40.485522747,-80.332575675,4.974189,3.00,0.75,
1389,stripe,-12.613,-12.065,40.485518457,-80.332574174,4.974189,3.00,0.75,
1390,stripe,-12.486,-12.539,40.485514166,-80.332572674,4.974189,3.00,0.75,
1391,stripe,-12.359,-13.013,40.485509876,-80.332571173,4.974189,3.00,0.75,
1392,stripe,-12.232,-13.487,40.485505586,-80.332569672,4.974189,3.00,0.75,
1393,stripe,-12.105,-13.962,40.485501296,-80.332568171,4.974189,3.00,0.75,
1394,stripe,-11.978,-14.436,40.485497006,-80.332566670,4.974189,3.00,0.75,
1395,stripe,-11.851,-14.910,40.485492716,-80.332565169,4.974189,3.00,0.75,
1396,stripe,-11.724,-15.384,40.485488426,-80.332563669,4.974189,3.00,0.75,
1397,stripe,-11.597,-15.859,40.485484136,-80.332562168,4.974189,3.00,0.75,
1398,stripe,-11.470,-16.333,40.485479846,-80.332560667,4.974189,3.00,0.75,
1399,stripe,-11.342,-16.807,40.485475556,-80.332559166,4.974189,3.00,0.75,
1400,stripe,-11.215,-17.281,40.485471266,-80.332557665,4.974189,3.00,0.75,
1401,stripe,-11.088,-17.755,40.485466976,-80.332556165,4.974189,3.00,0.75,
1402,stripe,-10.961,-18.230,40.485462686,-80.332554664,4.974189,3.00,0.75,
1403,stripe,-10.834,-18.704,40.485458396,-80.332553163,4.974189,3.00,0.75,
1404,stripe,-10.707,-19.178,40.485454105,-80.332551662,4.974189,3.00,0.75,
1405,stripe,-10.580,-19.652,40.485449815,-80.332550161,4.974189,3.00,0.75,
1406,stripe,-10.453,-20.127,40.485445525,-80.332548661,4.974189,3.00,0.75,
1407,stripe,-10.326,-20.601,40.485441235,-80.332547160,4.974189,3.00,0.75,
1408,stripe,-10.199,-21.075,40.485436945,-80.332545659,4.974189,3.00,0.75,
1409,stripe,-10.072,-21.549,40.485432655,-80.332544158,4.974189,3.00,0.75,
1410,stripe,-9.945,-22.023,40.485428365,-80.332542657,4.974189,3.00,0.75,
1411,stripe,-9.818,-22.498,40.485424075,-80.332541157,4.974189,3.00,0.75,
1412,stripe,-9.691,-22.972,40.485419785,-80.332539656,4.974189,3.00,0.75,
1413,stripe,-9.563,-23.446,40.485415495,-80.332538155,4.974189,3.00,0.75,
1414,stripe,-9.436,-23.920,40.485411205,-80.332536654,4.974189,3.00,0.75,
1415,stripe,-9.309,-24.395,40.485406915,-80.332535153,4.974189,3.00,0.75,
1416,stripe,-9.182,-24.869,40.485402625,-80.332533652,4.974189,3.00,0.75,
1417,stripe,-9.055,-25.343,40.485398334,-80.332532152,4.974189,3.00,0.75,
1418,stripe,-8.928,-25.817,40.485394044,-80.332530651,4.974189,3.00,0.75,
1419,stripe,-8.801,-26.291,40.485389754,-80.332529150,4.974189,3.00,0.75,
1420,stripe,-8.674,-26.766,40.485385464,-80.332527649,4.974189,3.00,0.75,
1421,stripe,-8.547,-27.240,40.485381174,-80.332526148,4.974189,3.00,0.75,
1422,stripe,-8.420,-27.714,40.485376884,-80.332524648,4.974189,3.00,0.75,
1423,stripe,-8.293,-28.188,40.485372594,-80.332523147,4.974189,3.00,0.75,
1424,stripe,-8.166,-28.663,40.485368304,-80.332521646,4.974189,3.00,0.75,
